id,expression,source,idea,confidence,offered_terminals,is_ic,is_icir,is_tstat,is_sharpe,turnover,coverage,n_terminals,depth
40,cs_rank(dollar_volume),debate,quality distress spread,4,"cs_accruals,cs_current_ratio,dollar_volume,pe_op_dil,rect_turn,returns,roe",0.010970854749403968,0.09024744799818474,4.748936994585465,0.6443509904072272,0.06532822206158999,0.4679717271125251,1,1
83,"add(cs_rank(market_cap), cs_rank(dollar_volume))",debate,cash resilience,4,"ask,cash_ratio,cs_bm,dollar_volume,gpm,market_cap,returns",0.012028098903625887,0.08860308301962437,4.6624083907024705,0.3084436520305787,0.03486230075090906,0.4679717271125251,2,2
133,"add(cs_rank(dollar_volume), cs_rank(market_cap))",debate,quality growth fragility,4,"cs_leverage,cs_sales_growth,dollar_volume,gpm,low,market_cap,pe_exi",0.012028098903625887,0.08860308301962437,4.6624083907024705,0.3084436520305787,0.03486230075090906,0.4679717271125251,2,2
126,"add(cs_rank(roa), neg(cs_rank(accrual)))",debate,Accounting Quality,4,"accrual,bid,pe_exi,price,quick_ratio,roa,volume",0.008363336815381681,0.08670884298122186,4.562731039214641,0.9607743263276147,0.0013910909103559516,0.4374458741126978,2,3
77,neg(cs_rank(market_cap)),debate,liquidity quality,4,"capei,close,cs_leverage,curr_ratio,market_cap,rect_turn,roa",-0.011939088932406923,-0.08212025092603818,-4.321273413018264,-0.04189380198717813,0.0035394554792486633,0.4679717271125251,1,2
117,"add(cs_rank(market_cap), cs_rank(volume))",debate,quality growth,4,"cs_asset_growth,cs_gp_at,curr_ratio,debt_at,high,market_cap,volume",0.00963363969725701,0.08107601781060628,4.266324521023605,0.48778692954136366,0.03861551417792547,0.4679717271125251,2,2
87,"add(add(add(cs_rank(cash_ratio), cs_rank(gpm)), cs_rank(cs_bm)), neg(cs_rank(dollar_volume)))",debate,cash resilience,4,"ask,cash_ratio,cs_bm,dollar_volume,gpm,market_cap,returns",-0.008455223109880174,-0.0810732190225228,-4.266177245188505,-0.4793854252076468,0.03448575706146455,0.3737133891592415,4,4
32,"add(mul(cs_rank(cs_gpmargin), neg(cs_rank(cs_leverage))), mul(cs_rank(cs_asset_growth), neg(cs_rank(cs_leverage))))",debate,growth quality drag,4,"ask,cs_asset_growth,cs_gpmargin,cs_leverage,ptb,rect_turn,returns",-0.005709746116646242,-0.0799500236015264,-4.207073254934662,-0.63103037809016,0.0020432779034890605,0.407508596730887,4,4
1,"add(cs_rank(cs_current_ratio), cs_rank(cs_roe))",debate,resilience quality,4,"bid,cs_current_ratio,cs_rd_sale,cs_roe,cs_sp,rect_turn,volume",0.006200281792249842,0.07819464764045687,4.114703110117972,0.8467049326183691,0.003205193129233203,0.3742023187922665,2,2
9,"add(cs_rank(cs_roe), cs_rank(cs_current_ratio))",debate,resilience quality,4,"bid,cs_current_ratio,cs_rd_sale,cs_roe,cs_sp,rect_turn,volume",0.006200281792249842,0.07819464764045687,4.114703110117972,0.8467049326183691,0.003205193129233203,0.3742023187922665,2,2
54,cs_rank(neg(ask)),debate,fragile growth,4,"accrual,ask,bm,cs_current_ratio,cs_earnings_growth,debt_at,returns",-0.0103039717604076,-0.07778414641518898,-4.093102006726809,0.057227824229912794,0.004509387704092666,0.4679710024144524,1,2
56,neg(cs_rank(ask)),debate,fragile growth,4,"accrual,ask,bm,cs_current_ratio,cs_earnings_growth,debt_at,returns",-0.0103039717604076,-0.07778414641518898,-4.093102006726809,0.057227824229912794,0.004509387704092666,0.4679710024144524,1,2
75,"add(add(cs_rank(bm), cs_rank(dollar_volume)), add(neg(cs_rank(cs_accruals)), cs_rank(npm)))",debate,Cash-Backed Value,4,"bm,cash_ratio,cs_accruals,cs_rd_sale,dollar_volume,high,npm",0.008067503264492147,0.07721135372725545,4.062960917462875,0.36846514411101894,0.03734536917358356,0.37030126906710825,4,4
84,"sub(cs_rank(cash_ratio), cs_rank(dollar_volume))",debate,cash resilience,4,"ask,cash_ratio,cs_bm,dollar_volume,gpm,market_cap,returns",-0.009506158309615221,-0.07706619559840058,-4.055322509690972,-0.37585132526288256,0.045264335310680213,0.37544867869423904,2,2
151,"add(add(cs_rank(bm), cs_rank(cs_roa)), add(neg(cs_rank(cs_accruals)), neg(cs_rank(cs_debt_at))))",debate,Quality R&D,4,"bm,cs_accruals,cs_debt_at,cs_rd_sale,cs_roa,high,volume",0.004707133333797061,0.07578246130027567,3.987770756873472,0.421363480372432,0.005317768473734719,0.37155523829884374,4,4
124,"add(add(cs_rank(at_turn), cs_rank(opmbd)), neg(add(cs_rank(de_ratio), cs_rank(cs_accruals))))",debate,quality resilience,4,"at_turn,cs_accruals,cs_sales_growth,de_ratio,opmbd,price,quick_ratio",0.0045979037681622035,0.07573417128555583,3.98522967407879,0.13445539680763974,0.005340100896724785,0.37234226040575846,4,4
74,"add(add(cs_rank(bm), cs_rank(cash_ratio)), add(neg(cs_rank(cs_accruals)), add(cs_rank(npm), cs_rank(dollar_volume))))",debate,Cash-Backed Value,4,"bm,cash_ratio,cs_accruals,cs_rd_sale,dollar_volume,high,npm",0.005920700127352409,0.07472319078064857,3.9320305772948525,0.5228771597417345,0.034624671037445535,0.37030126906710825,5,4
152,"add(mul(cs_rank(cs_rd_sale), cs_rank(cs_roa)), sub(neg(cs_rank(cs_accruals)), cs_rank(cs_debt_at)))",debate,Quality R&D,4,"bm,cs_accruals,cs_debt_at,cs_rd_sale,cs_roa,high,volume",0.005884579323862363,0.0735557170041352,3.8705966029224776,0.6183634258880145,0.00530996480692164,0.23931692375330796,4,4
78,"add(neg(cs_rank(market_cap)), neg(cs_rank(capei)))",debate,liquidity quality,4,"capei,close,cs_leverage,curr_ratio,market_cap,rect_turn,roa",-0.01021595974015271,-0.07275437809128607,-3.8284291168290574,0.18118999955109852,0.00334420862311688,0.4333513300021379,2,3
149,"add(cs_rank(cs_rd_sale), sub(cs_rank(cs_roa), add(cs_rank(cs_accruals), cs_rank(cs_debt_at))))",debate,Quality R&D,4,"bm,cs_accruals,cs_debt_at,cs_rd_sale,cs_roa,high,volume",0.007041124839744851,0.07227744108625947,3.8033320771066355,0.6222643004718473,0.004693275898448836,0.23931692375330796,4,4
145,"add(add(cs_rank(cs_rd_sale), cs_rank(cs_roa)), sub(neg(cs_rank(cs_accruals)), cs_rank(cs_debt_at)))",debate,Quality R&D,4,"bm,cs_accruals,cs_debt_at,cs_rd_sale,cs_roa,high,volume",0.007041123179440776,0.0722774169309729,3.8033308060243325,0.6222654135685212,0.0046932786773554785,0.23931692375330796,4,4
148,"add(add(cs_rank(cs_rd_sale), cs_rank(cs_roa)), add(neg(cs_rank(cs_accruals)), neg(cs_rank(cs_debt_at))))",debate,Quality R&D,4,"bm,cs_accruals,cs_debt_at,cs_rd_sale,cs_roa,high,volume",0.007041123179440776,0.0722774169309729,3.8033308060243325,0.6222654135685212,0.0046932786773554785,0.23931692375330796,4,4
95,"sub(cs_rank(opmbd), cs_rank(cs_accruals))",debate,quality fragility,4,"bid,cash_ratio,close,cs_accruals,cs_asset_growth,opmbd,shrout",0.005664993002193179,0.07137477988111264,3.7558328814420103,0.31893607745738606,0.00590210638359823,0.37237547573408897,2,2
100,"add(cs_rank(opmbd), neg(cs_rank(cs_accruals)))",debate,quality fragility,4,"bid,cash_ratio,close,cs_accruals,cs_asset_growth,opmbd,shrout",0.005664993002193179,0.07137477988111264,3.7558328814420103,0.31893607745738606,0.00590210638359823,0.37237547573408897,2,3
15,"add(cs_rank(curr_ratio), neg(cs_rank(ptb)))",debate,quality efficiency,4,"at_turn,bid,cs_rd_sale,cs_roa,curr_ratio,low,ptb",-0.008320616172131454,-0.0709418207961121,-3.733050016535489,-0.22787262857596008,0.001479019868618319,0.3733575624055628,2,3
106,"add(add(cs_rank(roa), cs_rank(cs_earnings_growth)), add(neg(cs_rank(accrual)), add(neg(cs_rank(de_ratio)), mul(cs_rank(cs_bm), neg(cs_rank(add(abs_val(de_ratio), accrual)))))))",debate,quality distress composite,4,"accrual,ask,cs_bm,cs_earnings_growth,de_ratio,high,roa",0.008574065303359852,0.07013202758572974,3.690437654412781,0.7393587045218339,0.002871556588440408,0.43667600319350286,7,8
103,"add(add(cs_rank(roa), cs_rank(cs_earnings_growth)), add(neg(cs_rank(de_ratio)), add(neg(cs_rank(accrual)), mul(cs_rank(cs_bm), neg(cs_rank(add(abs_val(de_ratio), accrual)))))))",debate,quality distress composite,4,"accrual,ask,cs_bm,cs_earnings_growth,de_ratio,high,roa",0.008574058854642385,0.07013196932858566,3.6904345888467973,0.7393580132607704,0.002871556336000852,0.43667600319350286,7,8
61,"sub(cs_rank(market_cap), cs_rank(cs_leverage))",debate,funding stress,4,"bid,cs_leverage,cs_sp,gpm,low,market_cap,quick_ratio",0.009083671553053055,0.06869453884329159,3.614795144627884,0.12228211097324664,0.00318065231169594,0.4379286438121051,2,2
4,"add(neg(cs_rank(ask)), neg(cs_rank(de_ratio)))",debate,resilience tilt,3,"ask,at_turn,bm,de_ratio,gpm,price,shrout",-0.007500402932515746,-0.06832086007958281,-3.595131686608514,0.2745689389812402,0.003980941614676709,0.437527764994909,2,3
165,"add(neg(cs_rank(de_ratio)), neg(cs_rank(ask)))",debate,cash quality,4,"ask,cs_cash_at,de_ratio,pe_exi,price,rect_turn,roce",-0.007500402932515746,-0.06832086007958281,-3.595131686608514,0.2745689389812402,0.003980941614676709,0.437527764994909,2,3
135,"add(cs_rank(dollar_volume), neg(cs_rank(cs_leverage)))",debate,quality growth fragility,4,"cs_leverage,cs_sales_growth,dollar_volume,gpm,low,market_cap,pe_exi",0.008209752215294915,0.06616935544861602,3.4819167407828364,0.5335411113718767,0.04767424461686476,0.4379286438121051,2,3
19,"add(cs_rank(cs_current_ratio), cs_rank(roe))",debate,innovation quality,3,"cs_accruals,cs_current_ratio,cs_rd_sale,cs_sp,price,rect_turn,roe",0.005721165646554597,0.06583814640509228,3.4644880941604654,0.35069794867153514,0.0018636196792724648,0.3709460087857563,2,2
59,"sub(add(cs_rank(debt_at), cs_rank(accrual)), add(cs_rank(cs_current_ratio), cs_rank(bm)))",debate,fragile growth,4,"accrual,ask,bm,cs_current_ratio,cs_earnings_growth,debt_at,returns",0.006926968010834289,0.06520169051604366,3.430996965225877,0.2681567110040335,0.0020297076127112276,0.3716359213509338,4,3
156,"add(cs_rank(cs_current_ratio), neg(cs_rank(ask)))",debate,Growth Liquidity Quality,4,"ask,cs_current_ratio,cs_sales_growth,open,opmbd,ps,shrout",-0.008897448175662837,-0.06339526429291042,-3.335940489842781,0.29247956482200965,0.0041482840072423486,0.3742019564432302,2,3
31,"sub(cs_rank(cs_asset_growth), add(cs_rank(cs_gpmargin), cs_rank(cs_leverage)))",debate,growth quality drag,4,"ask,cs_asset_growth,cs_gpmargin,cs_leverage,ptb,rect_turn,returns",-0.004199161287109672,-0.06324349483815844,-3.3279541855836925,-0.7738699284640208,0.002349846965780157,0.407508596730887,3,3
79,"add(add(cs_rank(cs_roe), cs_rank(cs_cash_at)), neg(cs_rank(de_ratio)))",debate,cash quality,4,"capei,cs_accruals,cs_cash_at,cs_roe,de_ratio,high,volume",0.007396224112970693,0.062005797451891775,3.262824954385246,0.7428487373473067,0.002608521231765186,0.4374492560370369,3,3
80,"add(add(cs_rank(cs_roe), neg(cs_rank(de_ratio))), cs_rank(cs_cash_at))",debate,cash quality,4,"capei,cs_accruals,cs_cash_at,cs_roe,de_ratio,high,volume",0.007395992673428851,0.062004142660730045,3.2627378771421713,0.7429790875260562,0.002607395749663875,0.4374492560370369,3,4
72,"add(add(cs_rank(cash_ratio), cs_rank(npm)), neg(cs_rank(cs_accruals)))",debate,Cash-Backed Value,4,"bm,cash_ratio,cs_accruals,cs_rd_sale,dollar_volume,high,npm",0.004778417640071568,0.0603154824594755,3.173878401568046,0.5008083883012724,0.00521905336044193,0.37237547573408897,3,3
70,"add(add(cs_rank(npm), neg(cs_rank(cs_accruals))), cs_rank(cash_ratio))",debate,Cash-Backed Value,4,"bm,cash_ratio,cs_accruals,cs_rd_sale,dollar_volume,high,npm",0.004778415708287799,0.060315459710275264,3.1738772044758177,0.5008081540888895,0.005219054254951531,0.37237547573408897,3,4
81,"add(add(add(cs_rank(cs_roe), cs_rank(cs_cash_at)), neg(cs_rank(de_ratio))), neg(cs_rank(cs_accruals)))",debate,cash quality,4,"capei,cs_accruals,cs_cash_at,cs_roe,de_ratio,high,volume",0.0056631992072614865,0.06030795616839671,3.173482358434097,0.7811742481802066,0.004815941680545726,0.37362473442835215,4,4
141,"add(add(cs_rank(cs_roe), cs_rank(cs_earnings_growth)), sub(cs_rank(bm), cs_rank(debt_at)))",debate,Quality Value,4,"at_turn,bm,cs_earnings_growth,cs_roe,debt_at,dollar_volume,shrout",0.005100676100531925,0.06029300570751601,3.1726956459193687,0.2654233932591964,0.00460939611376737,0.4348141330618131,4,3
91,"add(cs_rank(at_turn), neg(cs_rank(accrual)))",debate,quality fragility,4,"accrual,at_turn,cs_cash_at,debt_at,gpm,open,pe_exi",0.005879824836460562,0.05969967800038648,3.1414739774866316,1.0428950581173038,0.0013807597311444792,0.43620482866325816,2,3
171,"add(add(cs_rank(gprof), cs_rank(cs_cash_at)), cs_rank(neg(cs_accruals)))",debate,cash accrual quality,4,"cs_accruals,cs_cash_at,cs_ep,cs_leverage,gprof,returns,shrout",0.006552184099790424,0.059552575525714,3.13373325573258,0.9035131869936407,0.004682950809384834,0.37358958657182784,3,3
144,"sub(add(add(cs_rank(bm), cs_rank(cs_roe)), cs_rank(at_turn)), cs_rank(debt_at))",debate,Quality Value,4,"at_turn,bm,cs_earnings_growth,cs_roe,debt_at,dollar_volume,shrout",0.005114868165989672,0.05862746872813594,3.085052944073803,0.23918856613391562,0.002800054597504839,0.4340501805102116,4,4
47,"add(add(cs_rank(at_turn), cs_rank(gprof)), add(cs_rank(cs_current_ratio), sub(cs_rank(cs_earnings_growth), cs_rank(cs_debt_at))))",debate,Quality Efficiency,4,"at_turn,bm,cs_current_ratio,cs_debt_at,cs_earnings_growth,gprof,open",0.006633713009935867,0.05785325889830891,3.044313025283952,0.6252154562250554,0.002640326303401455,0.37210757901322694,5,4
48,"add(add(cs_rank(at_turn), cs_rank(gprof)), add(cs_rank(cs_earnings_growth), sub(cs_rank(cs_current_ratio), cs_rank(cs_debt_at))))",debate,Quality Efficiency,4,"at_turn,bm,cs_current_ratio,cs_debt_at,cs_earnings_growth,gprof,open",0.006633713009935867,0.05785325889830891,3.044313025283952,0.6252154562250554,0.002640326303401455,0.37210757901322694,5,4
49,"add(add(add(cs_rank(at_turn), cs_rank(gprof)), cs_rank(cs_earnings_growth)), sub(cs_rank(cs_current_ratio), cs_rank(cs_debt_at)))",debate,Quality Efficiency,4,"at_turn,bm,cs_current_ratio,cs_debt_at,cs_earnings_growth,gprof,open",0.006633713009935867,0.05785325889830891,3.044313025283952,0.6252154562250554,0.002640326303401455,0.37210757901322694,5,4
147,"sub(add(cs_rank(cs_rd_sale), cs_rank(cs_roa)), cs_rank(cs_debt_at))",debate,Quality R&D,4,"bm,cs_accruals,cs_debt_at,cs_rd_sale,cs_roa,high,volume",0.00600830747449789,0.057386402473999745,3.0197464387073847,0.3502100826625398,0.0025001517761425135,0.24209662399402848,3,3
24,"add(add(cs_rank(cs_sales_growth), cs_rank(gpm)), add(cs_rank(cash_ratio), add(neg(cs_rank(cs_accruals)), cs_rank(at_turn))))",debate,quality growth,4,"at_turn,cash_ratio,cs_accruals,cs_sales_growth,cs_sp,gpm,high",0.007299755862122179,0.05649935058799246,2.973068625527985,0.7233141360166783,0.004417181316006423,0.371554392817759,5,5
25,"add(add(add(cs_rank(cs_sales_growth), cs_rank(gpm)), cs_rank(cash_ratio)), add(cs_rank(at_turn), neg(cs_rank(cs_accruals))))",debate,quality growth,4,"at_turn,cash_ratio,cs_accruals,cs_sales_growth,cs_sp,gpm,high",0.007299755862122179,0.05649935058799246,2.973068625527985,0.7233141360166783,0.004417181316006423,0.371554392817759,5,4
163,"sub(add(cs_rank(cs_cash_at), cs_rank(roce)), cs_rank(de_ratio))",debate,cash quality,4,"ask,cs_cash_at,de_ratio,pe_exi,price,rect_turn,roce",0.006398355110166819,0.05528017834440796,2.9089142112065227,0.4961500094526646,0.0014030348333701477,0.43730262546033427,3,3
113,"add(add(cs_rank(cs_opmargin), cs_rank(cs_cash_at)), add(neg(cs_rank(cs_accruals)), neg(cs_rank(cs_leverage))))",debate,Cash Quality,4,"cs_accruals,cs_cash_at,cs_leverage,cs_opmargin,cs_sp,open,shrout",0.004734692756809663,0.05262465243869337,2.7691770164884875,0.5050797556313938,0.004332747639874424,0.3728683912065136,4,4
67,"sub(add(cs_rank(gpm), cs_rank(neg(cs_leverage))), cs_rank(market_cap))",debate,funding stress,4,"bid,cs_leverage,cs_sp,gpm,low,market_cap,quick_ratio",-0.005804579492841458,-0.05218593630305802,-2.746091208159789,0.10144837642582945,0.0025015902291037253,0.43595963914867303,3,4
17,"add(add(cs_rank(cs_rd_sale), cs_rank(roe)), add(cs_rank(cs_current_ratio), neg(cs_rank(cs_accruals))))",debate,innovation quality,3,"cs_accruals,cs_current_ratio,cs_rd_sale,cs_sp,price,rect_turn,roe",0.005133745435324277,0.05206718682870494,2.739842457814469,0.6564087698917235,0.004916188544562294,0.2372766571127304,4,4
34,"add(add(cs_rank(inv_turn), cs_rank(quick_ratio)), neg(cs_rank(cs_leverage)))",debate,Working-capital resilience,4,"bm,cs_earnings_growth,cs_leverage,gpm,inv_turn,price,quick_ratio",-0.00494974244469101,-0.05014977768941108,-2.6389459183850987,-0.4514413121012444,0.0013064811686570575,0.310839792204906,3,3
12,"add(cs_rank(cs_roa), neg(cs_rank(ptb)))",debate,quality efficiency,4,"at_turn,bid,cs_rd_sale,cs_roa,curr_ratio,low,ptb",0.004854425851935043,0.049776675518343395,2.619312801413424,0.3167973973808616,0.004530462740777801,0.4353839873129524,2,3
21,"add(add(cs_rank(at_turn), cs_rank(gpm)), add(cs_rank(cash_ratio), neg(cs_rank(cs_accruals))))",debate,quality growth,4,"at_turn,cash_ratio,cs_accruals,cs_sales_growth,cs_sp,gpm,high",0.0053354943684331205,0.04977152247213344,2.6190416414823225,0.7608224944261556,0.004735443559801415,0.3721317356156491,4,4
121,"add(cs_rank(quick_ratio), neg(cs_rank(de_ratio)))",debate,quality resilience,4,"at_turn,cs_accruals,cs_sales_growth,de_ratio,opmbd,price,quick_ratio",-0.005374464601219837,-0.04882133663348932,-2.5690416383691153,-0.30562377179268724,0.0008824538702914533,0.37544867869423904,2,3
125,"add(neg(cs_rank(de_ratio)), cs_rank(quick_ratio))",debate,quality resilience,4,"at_turn,cs_accruals,cs_sales_growth,de_ratio,opmbd,price,quick_ratio",-0.005374464601219837,-0.04882133663348932,-2.5690416383691153,-0.30562377179268724,0.0008824538702914533,0.37544867869423904,2,3
104,"add(add(cs_rank(roa), cs_rank(cs_earnings_growth)), add(neg(cs_rank(accrual)), add(neg(cs_rank(de_ratio)), neg(cs_rank(ask)))))",debate,quality distress composite,4,"accrual,ask,cs_bm,cs_earnings_growth,de_ratio,high,roa",0.004788124556483279,0.048762878857515,2.5659655148763907,1.169887785894739,0.004723523055613363,0.436850413862991,5,5
6,"add(add(cs_rank(gpm), cs_rank(at_turn)), cs_rank(neg(de_ratio)))",debate,resilience tilt,3,"ask,at_turn,bm,de_ratio,gpm,price,shrout",0.0058493514509360914,0.048235137968419266,2.538195109315088,0.5346891688067239,0.0007069217021682615,0.43599430387314886,3,3
5,"add(add(cs_rank(gpm), cs_rank(at_turn)), neg(cs_rank(de_ratio)))",debate,resilience tilt,3,"ask,at_turn,bm,de_ratio,gpm,price,shrout",0.005849344614518223,0.048235080440187504,2.5381920821054096,0.5346875039651962,0.0007069238047724282,0.43599430387314886,3,3
8,neg(cs_rank(volume)),debate,resilience quality,4,"bid,cs_current_ratio,cs_rd_sale,cs_roe,cs_sp,rect_turn,volume",-0.004688361180911551,-0.04744870316172973,-2.496811896491245,-0.8803798365169256,0.06724814375060466,0.4679717271125251,1,2
53,cs_rank(volume),debate,Growth Quality,4,"at_turn,capei,cs_earnings_growth,cs_gp_at,market_cap,open,volume",0.004688361180911551,0.04744870316172973,2.496811896491245,0.8803798365169256,0.06724813601877352,0.4679717271125251,1,1
42,"add(add(cs_rank(at_turn), cs_rank(gprof)), cs_rank(cs_current_ratio))",debate,Quality Efficiency,4,"at_turn,bm,cs_current_ratio,cs_debt_at,cs_earnings_growth,gprof,open",0.005262535106132254,0.04701938826184416,2.474220793300888,0.5922006890820937,0.0012996552053209343,0.37248285183185553,3,3
93,"add(add(neg(cs_rank(accrual)), cs_rank(at_turn)), cs_rank(cs_cash_at))",debate,quality fragility,4,"accrual,at_turn,cs_cash_at,debt_at,gpm,open,pe_exi",0.005543974146626389,0.0460771407532862,2.4246385153450962,0.8923889676779059,0.0018205392246496387,0.43612849379960406,3,4
